Date,total_cases,new_cases,7-Day Rolling Average Number of New Cases per Day,total_tests,new_tests,7-Day Rolling Average % of New Tests Positive,county
4/1/2020,378,24,21.3,"5,779",333,6.70%,Contra Costa County
4/2/2020,423,45,24.6,"6,149",370,7.90%,Contra Costa County
4/3/2020,457,34,27,"6,584",435,8.50%,Contra Costa County
4/4/2020,480,23,27.9,"6,772",188,8.80%,Contra Costa County
4/5/2020,490,10,27.9,"6,945",173,8.80%,Contra Costa County
4/6/2020,517,27,26.9,"7,320",375,8.40%,Contra Costa County
4/7/2020,551,34,28.1,"7,709",389,8.70%,Contra Costa County
4/8/2020,571,20,27.6,"8,054",345,8.50%,Contra Costa County
4/9/2020,591,20,24,"8,378",324,7.50%,Contra Costa County
4/10/2020,638,47,25.9,"8,857",479,8.00%,Contra Costa County
4/11/2020,651,13,24.4,"9,039",182,7.50%,Contra Costa County
4/12/2020,653,2,23.3,"9,155",116,7.40%,Contra Costa County
4/13/2020,681,28,23.4,"9,514",359,7.50%,Contra Costa County
4/14/2020,696,15,20.7,"9,853",339,6.80%,Contra Costa County
4/15/2020,724,28,21.9,"10,205",352,7.10%,Contra Costa County
4/16/2020,748,24,22.4,"10,590",385,7.10%,Contra Costa County
4/17/2020,760,12,17.4,"10,939",349,5.90%,Contra Costa County
4/18/2020,768,8,16.7,"11,096",157,5.70%,Contra Costa County
4/19/2020,775,7,17.4,"11,243",147,5.80%,Contra Costa County
4/20/2020,787,12,15.1,"11,611",368,5.10%,Contra Costa County
4/21/2020,804,17,15.4,"12,019",408,5.00%,Contra Costa County
4/22/2020,818,14,13.4,"12,540",521,4.00%,Contra Costa County
4/23/2020,837,19,12.7,"13,097",557,3.60%,Contra Costa County
4/24/2020,858,21,14,"13,664",567,3.60%,Contra Costa County
4/25/2020,864,6,13.7,"13,895",231,3.40%,Contra Costa County
4/26/2020,875,11,14.3,"14,127",232,3.50%,Contra Costa County
4/27/2020,895,20,15.4,"14,735",608,3.50%,Contra Costa County
4/28/2020,911,16,15.3,"15,280",545,3.30%,Contra Costa County
4/29/2020,929,18,15.9,"15,979",699,3.20%,Contra Costa County
4/30/2020,955,26,16.9,"16,826",847,3.20%,Contra Costa County
